"gsm","donor","cond","celltype","x","y"
"GSM7717088","PWH28","Wound1","Fibroblast",-1.1794661,0.17487878
"GSM7717086","PWH27","Wound30","Fibroblast",3.0285509,-0.004724384
"GSM7717088","PWH28","Wound1","Fibroblast",-2.5341332,5.2722087
"GSM7717079","PWH26","Skin","Fibroblast",-2.1029353,-0.13648133
"GSM7717086","PWH27","Wound30","Fibroblast",1.4856083,0.046244364
"GSM7717090","PWH28","Wound30","Fibroblast",3.0403624,0.052144047
"GSM7717081","PWH26","Wound7","Fibroblast",1.1072646,-0.06362611
"GSM7717079","PWH26","Skin","Fibroblast",-2.1275594,-1.0136487
"GSM7717084","PWH27","Wound1","Fibroblast",-2.5822105,0.22854103
"GSM7717085","PWH27","Wound7","Fibroblast",0.17664897,0.66803783
"GSM7717079","PWH26","Skin","Fibroblast",-3.2032194,2.8924515
"GSM7717089","PWH28","Wound7","Fibroblast",-0.15472978,1.6225554
"GSM7717082","PWH26","Wound30","Fibroblast",2.886842,0.26401293
"GSM7717085","PWH27","Wound7","Fibroblast",1.595915,-0.03125954
"GSM7717085","PWH27","Wound7","Fibroblast",0.8518377,-0.081939824
