"gsm","donor","cond","celltype","x","y"
"GSM7717089","PWH28","Wound7","Fibroblast",-0.05640827,1.0911069
"GSM7717082","PWH26","Wound30","Fibroblast",1.693961,-0.41330743
"GSM7717090","PWH28","Wound30","Fibroblast",3.3628206,-0.068189524
"GSM7717082","PWH26","Wound30","Fibroblast",-1.8480332,0.98800534
"GSM7717085","PWH27","Wound7","Fibroblast",0.9961107,0.9360039
"GSM7717082","PWH26","Wound30","Fibroblast",2.782817,0.12838282
"GSM7717089","PWH28","Wound7","Fibroblast",-3.3927252,2.3827484
"GSM7717089","PWH28","Wound7","Fibroblast",-2.6373875,2.2069187
"GSM7717090","PWH28","Wound30","Fibroblast",2.799399,-0.055045936
"GSM7717087","PWH28","Skin","Fibroblast",-3.1028018,-0.93876666
"GSM7717086","PWH27","Wound30","Fibroblast",2.8911567,0.085369885
"GSM7717085","PWH27","Wound7","Fibroblast",-0.60437644,-0.749511
"GSM7717085","PWH27","Wound7","Fibroblast",-3.4941983,0.9277864
"GSM7717086","PWH27","Wound30","Fibroblast",2.82075,0.33662006
"GSM7717082","PWH26","Wound30","Fibroblast",-2.9347596,0.753127
"GSM7717083","PWH27","Skin","Fibroblast",-3.3164754,0.28980958
"GSM7717085","PWH27","Wound7","Fibroblast",-0.7741979,0.49690947
"GSM7717088","PWH28","Wound1","Fibroblast",-1.3053988,1.706284
"GSM7717079","PWH26","Skin","Fibroblast",-2.6464183,1.6283011
"GSM7717085","PWH27","Wound7","Fibroblast",-2.804985,-0.63251674
"GSM7717088","PWH28","Wound1","Fibroblast",-0.9949151,2.7935371
"GSM7717084","PWH27","Wound1","Fibroblast",-1.8317661,-0.8522473
"GSM7717083","PWH27","Skin","Fibroblast",-2.4073396,-1.9337378
"GSM7717086","PWH27","Wound30","Fibroblast",-0.623271,-0.61650974
"GSM7717086","PWH27","Wound30","Fibroblast",2.5113766,-0.46956858
"GSM7717081","PWH26","Wound7","Fibroblast",-3.8040771,1.9428836
"GSM7717090","PWH28","Wound30","Fibroblast",3.0749931,0.24020217
"GSM7717090","PWH28","Wound30","Fibroblast",1.6436183,-0.14523229
"GSM7717081","PWH26","Wound7","Fibroblast",1.399681,0.2903826
"GSM7717085","PWH27","Wound7","Fibroblast",-2.3304157,0.13665473
"GSM7717085","PWH27","Wound7","Fibroblast",-2.685862,2.3876588
"GSM7717079","PWH26","Skin","Fibroblast",-3.5112495,-0.16233948
"GSM7717084","PWH27","Wound1","Fibroblast",-2.5563514,0.5456632
"GSM7717079","PWH26","Skin","Fibroblast",-3.11256,-1.2809006
"GSM7717086","PWH27","Wound30","Fibroblast",-0.0978309,-1.4247795
"GSM7717079","PWH26","Skin","Fibroblast",-2.8647895,-1.2385736
"GSM7717086","PWH27","Wound30","Fibroblast",2.4224963,-0.8072755
"GSM7717090","PWH28","Wound30","Fibroblast",2.6160357,0.02000366
"GSM7717090","PWH28","Wound30","Fibroblast",-2.6974852,-0.9895066
"GSM7717079","PWH26","Skin","Fibroblast",-1.4313875,0.09982042
"GSM7717086","PWH27","Wound30","Fibroblast",2.9878712,0.20768872
"GSM7717090","PWH28","Wound30","Fibroblast",3.395148,0.09004851
"GSM7717085","PWH27","Wound7","Fibroblast",-1.5669216,0.07759581
