"holdout","method","seed","energy_distance","baseline_distance","improvement","day"
"Wound7","Shared flow",0,0.804804616989478,1.47247620612653,0.453434552191113,"Day 7"
"Wound7","Shared flow",1,0.804395468474898,1.47247620612653,0.453712416453284,"Day 7"
"Wound7","Shared flow",2,0.823677227507139,1.47247620612653,0.440617631660147,"Day 7"
"Wound1","Shared flow",0,0.948431901396698,1.34601697986456,0.295378947231311,"Day 1"
"Wound1","Shared flow",1,1.09986121754609,1.34601697986456,0.182877159798714,"Day 1"
"Wound1","Shared flow",2,1.12307288960407,1.34601697986456,0.165632450106924,"Day 1"
