"holdout","method","energy_distance","centered_energy","centroid_error","variance_ratio","day"
"Wound7","Unchanged source",1.47247620612653,0.149460498028563,2.59710649596326,0.760574035608914,"Day 7"
"Wound7","Centroid translation",0.667420441063655,0.149460498214966,1.5375270890148,0.760574033766753,"Day 7"
"Wound7","Independent bridge",0.928408353224839,0.269067232139024,1.54263791245308,0.318522374878366,"Day 7"
"Wound7","Shared flow",0.810959104323838,0.144114124792815,1.68348377479044,0.543181787130296,"Day 7"
"Wound7","Location-scale",0.698167315352307,0.146554303899463,1.53752719693878,0.622434027885274,"Day 7"
"Wound1","Unchanged source",1.34601697986456,0.0647376661205978,2.52133014052976,0.990370751451647,"Day 1"
"Wound1","Centroid translation",0.929272737482965,0.0647376666072527,2.02703418006301,0.990370758318991,"Day 1"
"Wound1","Independent bridge",1.09588761069014,0.144472463389062,2.02150096307373,0.579195573955662,"Day 1"
"Wound1","Shared flow",1.05712200284895,0.121956007602118,2.01581525404565,0.641117558450954,"Day 1"
"Wound1","Location-scale",0.903392826944137,0.0667076549002378,2.02703412999893,1.10651811929323,"Day 1"
