holdout,source,anchor,alpha,donor,seed,method,source_cells,target_cells,energy_distance,baseline_distance,improvement
Wound7,Wound1,Wound30,0.49999999999999994,PWH26,0,Unchanged source,255,920,1.7580284658395158,1.7580284658395158,0.0
Wound7,Wound1,Wound30,0.49999999999999994,PWH26,0,Centroid translation,255,920,0.705820683439951,1.7580284658395158,0.5985157822214793
Wound7,Wound1,Wound30,0.49999999999999994,PWH26,0,Independent bridge,255,920,0.8678241809340221,1.7580284658395158,0.5063651142192354
Wound7,Wound1,Wound30,0.49999999999999994,PWH26,0,Shared flow,255,920,0.9290916736594017,1.7580284658395158,0.4715150000624534
Wound7,Wound1,Wound30,0.49999999999999994,PWH27,0,Unchanged source,497,1992,1.5845662153158733,1.5845662153158733,0.0
Wound7,Wound1,Wound30,0.49999999999999994,PWH27,0,Centroid translation,497,1992,0.6898344741297668,1.5845662153158733,0.5646540564464497
Wound7,Wound1,Wound30,0.49999999999999994,PWH27,0,Independent bridge,497,1992,0.9590611342562152,1.5845662153158733,0.394748464919762
Wound7,Wound1,Wound30,0.49999999999999994,PWH27,0,Shared flow,497,1992,0.8411246968392927,1.5845662153158733,0.46917668147328273
Wound7,Wound1,Wound30,0.49999999999999994,PWH28,0,Unchanged source,260,909,1.0748339372242013,1.0748339372242013,0.0
Wound7,Wound1,Wound30,0.49999999999999994,PWH28,0,Centroid translation,260,909,0.6066061656212467,1.0748339372242013,0.43562801227896675
Wound7,Wound1,Wound30,0.49999999999999994,PWH28,0,Independent bridge,260,909,0.9889363179666466,1.0748339372242013,0.0799171074551186
Wound7,Wound1,Wound30,0.49999999999999994,PWH28,0,Shared flow,260,909,0.6441974804697397,1.0748339372242013,0.40065394461454795
Wound7,Wound1,Wound30,0.49999999999999994,PWH26,1,Unchanged source,255,920,1.7580284658395158,1.7580284658395158,0.0
Wound7,Wound1,Wound30,0.49999999999999994,PWH26,1,Centroid translation,255,920,0.705820683439951,1.7580284658395158,0.5985157822214793
Wound7,Wound1,Wound30,0.49999999999999994,PWH26,1,Independent bridge,255,920,0.87121616583274,1.7580284658395158,0.5044356887493822
Wound7,Wound1,Wound30,0.49999999999999994,PWH26,1,Shared flow,255,920,0.8878042147371934,1.7580284658395158,0.4950000913021405
Wound7,Wound1,Wound30,0.49999999999999994,PWH27,1,Unchanged source,497,1992,1.5845662153158733,1.5845662153158733,0.0
Wound7,Wound1,Wound30,0.49999999999999994,PWH27,1,Centroid translation,497,1992,0.6898344741297668,1.5845662153158733,0.5646540564464497
Wound7,Wound1,Wound30,0.49999999999999994,PWH27,1,Independent bridge,497,1992,0.998038264545829,1.5845662153158733,0.3701504835208945
Wound7,Wound1,Wound30,0.49999999999999994,PWH27,1,Shared flow,497,1992,0.872161143997225,1.5845662153158733,0.44958996628401215
Wound7,Wound1,Wound30,0.49999999999999994,PWH28,1,Unchanged source,260,909,1.0748339372242013,1.0748339372242013,0.0
Wound7,Wound1,Wound30,0.49999999999999994,PWH28,1,Centroid translation,260,909,0.6066061656212467,1.0748339372242013,0.43562801227896675
Wound7,Wound1,Wound30,0.49999999999999994,PWH28,1,Independent bridge,260,909,0.8980705941159366,1.0748339372242013,0.1644564215796559
Wound7,Wound1,Wound30,0.49999999999999994,PWH28,1,Shared flow,260,909,0.653221046690275,1.0748339372242013,0.39225863264306415
Wound7,Wound1,Wound30,0.49999999999999994,PWH26,2,Unchanged source,255,920,1.7580284658395158,1.7580284658395158,0.0
Wound7,Wound1,Wound30,0.49999999999999994,PWH26,2,Centroid translation,255,920,0.705820683439951,1.7580284658395158,0.5985157822214793
Wound7,Wound1,Wound30,0.49999999999999994,PWH26,2,Independent bridge,255,920,0.8507576190602864,1.7580284658395158,0.5160728989368089
Wound7,Wound1,Wound30,0.49999999999999994,PWH26,2,Shared flow,255,920,0.9038480514866132,1.7580284658395158,0.4858740520705981
Wound7,Wound1,Wound30,0.49999999999999994,PWH27,2,Unchanged source,497,1992,1.5845662153158733,1.5845662153158733,0.0
Wound7,Wound1,Wound30,0.49999999999999994,PWH27,2,Centroid translation,497,1992,0.6898344741297668,1.5845662153158733,0.5646540564464497
Wound7,Wound1,Wound30,0.49999999999999994,PWH27,2,Independent bridge,497,1992,0.9853694281075782,1.5845662153158733,0.37814562838502075
Wound7,Wound1,Wound30,0.49999999999999994,PWH27,2,Shared flow,497,1992,0.8803573128734401,1.5845662153158733,0.4444174662035525
Wound7,Wound1,Wound30,0.49999999999999994,PWH28,2,Unchanged source,260,909,1.0748339372242013,1.0748339372242013,0.0
