holdout,method,seed,energy_distance,baseline_distance,improvement
Wound7,Unchanged source,0,1.4724762061265302,1.4724762061265302,0.0
Wound7,Centroid translation,0,0.6674204410636548,1.4724762061265302,0.5467360095282223
Wound7,Independent bridge,0,0.9386072110522946,1.4724762061265302,0.3625654478170631
Wound7,Shared flow,0,0.804804616989478,1.4724762061265302,0.45343455219111295
Wound7,Unchanged source,1,1.4724762061265302,1.4724762061265302,0.0
Wound7,Centroid translation,1,0.6674204410636548,1.4724762061265302,0.5467360095282223
Wound7,Independent bridge,1,0.9224416748315019,1.4724762061265302,0.37354391806570475
Wound7,Shared flow,1,0.8043954684748978,1.4724762061265302,0.4537124164532843
Wound7,Unchanged source,2,1.4724762061265302,1.4724762061265302,0.0
Wound7,Centroid translation,2,0.6674204410636548,1.4724762061265302,0.5467360095282223
Wound7,Independent bridge,2,0.9241761737907209,1.4724762061265302,0.3723659710455747
Wound7,Shared flow,2,0.8236772275071393,1.4724762061265302,0.44061763166014745
Wound1,Unchanged source,0,1.3460169798645598,1.3460169798645598,0.0
Wound1,Centroid translation,0,0.9292727374829651,1.3460169798645598,0.3096129161933222
Wound1,Independent bridge,0,1.100663032577425,1.3460169798645598,0.18228146520991373
Wound1,Shared flow,0,0.948431901396698,1.3460169798645598,0.29537894723131053
Wound1,Unchanged source,1,1.3460169798645598,1.3460169798645598,0.0
Wound1,Centroid translation,1,0.9292727374829651,1.3460169798645598,0.3096129161933222
Wound1,Independent bridge,1,1.0920468634147422,1.3460169798645598,0.18868269884334798
Wound1,Shared flow,1,1.099861217546086,1.3460169798645598,0.18287715979871422
Wound1,Unchanged source,2,1.3460169798645598,1.3460169798645598,0.0
Wound1,Centroid translation,2,0.9292727374829651,1.3460169798645598,0.3096129161933222
Wound1,Independent bridge,2,1.094952936078258,1.3460169798645598,0.18652368249586615
Wound1,Shared flow,2,1.123072889604071,1.3460169798645598,0.16563245010692373
