evaluation,n_source,n_target,stay_still_distance,predicted_distance,absolute_gain,relative_improvement
Cell-pooled,1012,3821,1.3614582781989828,0.6888978234117031,0.6725604547872797,0.4940000480051304
Equal donor mass,1012,3821,1.3172326697279795,0.662648249094218,0.6545844206337614,0.496939102466187
PWH26,255,920,1.7580284658395149,0.929091673659399,0.8289367921801158,0.4715150000624546
PWH27,497,1992,1.5845662153158706,0.841124696839298,0.7434415184765726,0.4691766814732784
PWH28,260,909,1.074833937224203,0.6441974804697423,0.4306364567544607,0.4006539446145464
