held_out_donor,train_seed,k1_mean_ed_across_single_training_donors,k2_ed,reduction_k1_to_k2
PWH26,0,1.0223662853240967,0.7110385894775391,0.3113276958465576
PWH26,1,1.1913785934448242,0.8991570472717285,0.2922215461730957
PWH26,2,1.0059483051300049,0.6657452583312988,0.34020304679870605
PWH27,0,0.32697558403015137,0.24583005905151367,0.0811455249786377
PWH27,1,0.30209970474243164,0.18129920959472656,0.12080049514770508
PWH27,2,0.38297438621520996,0.283416748046875,0.09955763816833496
PWH28,0,0.29956746101379395,0.19924449920654297,0.10032296180725098
PWH28,1,0.31768035888671875,0.20238876342773438,0.11529159545898438
PWH28,2,0.22493863105773926,0.1966409683227539,0.02829766273498535
